E001,CheckMarkLegacy,Check mark
E002,CheckboxFillLegacy,Filled checkbox
E003,CheckboxLegacy,Checkbox
E004,CheckboxIndeterminateLegacy,Indeterminate state
E005,CheckboxCompositeReversedLegacy,Reversed
E006,HeartLegacy,Outlined heart
E007,HeartBrokenLegacy,Broken heart
E008,CheckMarkZeroWidthLegacy,Check mark (zero width)
E009,CheckboxFillZeroWidthLegacy,Fill (zero width)
E00A,RatingStarFillZeroWidthLegacy,Solid star (zero width)
E00B,HeartFillZeroWidthLegacy,Solid heart (zero width)
E00C,HeartBrokenZeroWidthLegacy,Broken heart (zero width
E00E,ScrollChevronLeftLegacy,
E00F,ScrollChevronRightLegacy,
E010,ScrollChevronUpLegacy,
E011,ScrollChevronDownLegacy,
E016,ScrollChevronLeftBoldLegacy,
E017,ScrollChevronRightBoldLegacy,
E018,ScrollChevronUpBoldLegacy,
E019,ScrollChevronDownBoldLegacy,
E082,RatingStarFillReducedPaddingHTMLLegacy,Solid star (reduced padding for use in HTML)
E0A2,CheckboxCompositeLegacy,Composite
E0A5,HeartFillLegacy,Solid heart
E0A6,BackBttnArrow42Legacy,"Back button arrow, 42pt"
E0AB,BackBttnMirroredArrow42Legacy,"Mirrored back button arrow reversed, 42pt"
E0AD,BackBttnMirroredArrow20Legacy,"Mirrored back button arrow reversed, 20pt"
E0AE,ArrowHTMLMirroredLegacy,Mirrored version of E0D5
E0B4,RatingStarFillLegacy,Solid star
E0B5,RatingStarFillSmallLegacy,Small star
E0C4,BackBttnArrow20Legacy,"Back button arrow, 20pt"
E0D5,ArrowHTMLLegacy,Arrow for HTML use
E100,Previous,
E101,Next,
E102,Play,
E103,Pause,
E104,Edit,
E105,Save,
E106,Clear,
E107,Delete,
E108,Remove,
E109,Add,
E10A,Cancel,
E10B,Accept,
E10C,More,
E10D,Redo,
E10E,Undo,
E10F,Home,
E110,Up,
E111,Forward,
E112,Back,
E113,FavoriteLegacy,
E114,Camera,
E115,Setting,
E116,VideoLegacy,
E117,Sync,
E118,Download,
E119,Mail,
E11A,FindLegacy,
E11B,Help,
E11C,Upload,
E11D,Emoji,
E11E,TwoPage,
E11F,LeaveChat,
E120,MailForward,
E121,Clock,
E122,Send,
E123,Crop,
E124,RotateCamera,
E125,People,
E126,OpenPane,
E127,ClosePane,
E128,World,
E129,Flag,
E12A,PreviewLink,
E12B,Globe,
E12C,Trim,
E12D,AttachCamera,
